第四台,#genre#
CCTV6,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv6
CCTV7,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv7
CCTV8,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv8hd
CCTV9,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv9hd
CCTV10,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv10hd
CCTV11,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv11
CCTV12,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv12
CCTV13,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv13
CCTV14,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv14
CCTV15,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv15
CCTV16,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv16
CCTV17,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv17

衛視,#genre#
湖南衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=hunan_twn
江蘇衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=jiangsu_twn
深圳衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=shenzhen
大灣區衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=nanfang_twn
廣東衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=guangdongweishi_twn
北京衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=beijing
廣東珠江,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=zhujiang
廣西衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=guangxi
湖北衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=hubei
四川衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=sichuan_twn
鳳凰衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=phoenixtv_hd
東方衛視,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=dongfangweishi_twn
